id,title,year,km,fuel,transmission,engine,price,on_sale,url,photo_url,scraped_at
22579578,Opel Astra 1.6 CDTI - LED - NAVIGACIJA - PDC - KOT NOVA,2016,178000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",6990,False,https://www.avto.net/Ads/details.asp?id=22579578,https://images.avto.net/photo/22579578/1071869_160.jpg,2026-06-24T09:36:08
22546748,Jeep Renegade 2.0 JTD-4X4-2X AV.AC-NAVI-MULT.VOL-2.LAST-149.000K,2016,149000,diesel motor,ročni menjalnik,"1956 ccm, 103 kW / 140 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22546748,https://images.avto.net/photo/22546748/1077701_160.jpg,2026-06-24T09:36:08
22579456,Volkswagen Golf Variant 1.6 TDI 1.LASTNIK-VELIKA NAVI-SERVISNA-NOVE GUME,2019,193500,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",8490,False,https://www.avto.net/Ads/details.asp?id=22579456,https://images.avto.net/photo/22579456/1068849_160.jpg,2026-06-24T09:36:08
22579284,Škoda Octavia 1.6 TDI-2.LASTNIK-KLIMA-PDC-TEMPOMAT-VELIKI SERVIS,2015,197000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",6590,False,https://www.avto.net/Ads/details.asp?id=22579284,https://images.avto.net/photo/22579284/1065338_160.jpg,2026-06-24T09:36:08
22579223,Renault Clio dCi 90 Energy Intens Z ENOLETNIM JAMSTVOM,2017,126489,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",6990,True,https://www.avto.net/Ads/details.asp?id=22579223,https://images.avto.net/photo/22579223/1064676_160.jpg,2026-06-24T09:36:08
22579113,Audi A1 Sportback 1.4 TDI Sport Xenon-Navi-Pdc-Alu,2017,122268,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",9880,False,https://www.avto.net/Ads/details.asp?id=22579113,https://images.avto.net/photo/22579113/1063561_160.jpg,2026-06-24T09:36:08
22579014,Citroën C4 Grand Picasso Feel BlueHDi 120 S S BVM6 7Sed-KAM-Navi-BT-LED-FR,2018,149000,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22579014,https://images.avto.net/photo/22579014/1060529_160.jpg,2026-06-24T09:36:08
22578980,Audi A6 2.0 TDI 3X S Line-LED-USNJE-NAVI-20 COL,2012,138000,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",9885,False,https://www.avto.net/Ads/details.asp?id=22578980,https://images.avto.net/photo/22578980/1059754_160.jpg,2026-06-24T09:36:08
22578872,Peugeot 5008 ACTIVE 1.6 BlueHDi - NA OBROKE BREZ POLOGA -,2016,199000,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",5690,False,https://www.avto.net/Ads/details.asp?id=22578872,https://images.avto.net/photo/22578872/1058578_160.jpg,2026-06-24T09:36:08
22578781,Ford C-Max 1.5 TDCi Titanium,2017,156009,diesel motor,ročni menjalnik,"1499 ccm, 88 kW / 120 KM",7700,False,https://www.avto.net/Ads/details.asp?id=22578781,https://images.avto.net/photo/22578781/1057341_160.jpg,2026-06-24T09:36:08
22578693,Volkswagen Passat Variant 4motion 2.0 TDI BMT Highline,2015,,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",9999,False,https://www.avto.net/Ads/details.asp?id=22578693,https://images.avto.net/photo/22578693/1056323_160.jpg,2026-06-24T09:36:08
22514490,Kia Sportage 2WD 1.7 CRDI NAVIG-LED-KAMERA-PDC-LANE-LEASING,2016,194987,diesel motor,ročni menjalnik,"1685 ccm, 85 kW / 116 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22514490,https://images.avto.net/photo/22514490/1052770_160.jpg,2026-06-24T09:36:08
22578591,Citroën C3 Feel BlueHDi 75-165.000KM-LED-NAVI-SERVISNA-TOP,2017,165000,diesel motor,ročni menjalnik,"1560 ccm, 55 kW / 75 KM",6990,False,https://www.avto.net/Ads/details.asp?id=22578591,https://images.avto.net/photo/22578591/1054850_160.jpg,2026-06-24T09:36:08
22578588,Audi A3 Limuzina 1.6 TDI clean diesel Ambition,2014,187635,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",9200,False,https://www.avto.net/Ads/details.asp?id=22578588,https://images.avto.net/photo/22578588/1054869_160.jpg,2026-06-24T09:36:08
