id,title,year,km,fuel,transmission,engine,price,url,photo_url
22572387,Škoda Octavia Combi 1.6 TDI LED-NAVIG-PDC-LEASING,2019,149885 km,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",9.990 €,https://www.avto.net/Ads/details.asp?id=22572387,
22572226,BMW serija X1: xDrive18d-Sportline-Avt.Multi-Kljuka-Gret. sedež,2013,156220 km,diesel motor,avtomatski menjalnik,"1995 ccm, 105 kW / 143 KM",9.900 €,https://www.avto.net/Ads/details.asp?id=22572226,https://images.avto.net/photo/22572226/1056444_160.jpg
22572111,Peugeot 508 1.6 BlueHDi LED-NAV-PERLA BELA-ODLIČEN-BREZ POLO..,2015,198000 km,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",6.999 €,https://www.avto.net/Ads/details.asp?id=22572111,https://images.avto.net/photo/22572111/1055515_160.jpg
22396470,Ford Mondeo 1.5 TDCi°1.LASTNIK°1.LETNO JAMSTVO°SAMO 162.000 KM,2016,162000 km,diesel motor,ročni menjalnik,"1499 ccm, 88 kW / 120 KM",8.690 €,https://www.avto.net/Ads/details.asp?id=22396470,https://images.avto.net/photo/22396470/1044398_160.jpg
22083524,Ford Grand C-Max 1.5 TDCi°1.LASTNIK°1.LETNO JAMSTVO°178.000 KM,2017,178000 km,diesel motor,ročni menjalnik,"1499 ccm, 88 kW / 120 KM",7.590 €,https://www.avto.net/Ads/details.asp?id=22083524,https://images.avto.net/photo/22083524/1050271_160.jpg
22216521,Ford C-Max 1.5 TDCi 88 kW °1.LAST°1.LETNO JAMSTVO°178.000 KM,2017,178000 km,diesel motor,ročni menjalnik,"1499 ccm, 88 kW / 120 KM",7.590 €,https://www.avto.net/Ads/details.asp?id=22216521,https://images.avto.net/photo/22216521/1050482_160.jpg
22527085,Citroën C4 Grand Picasso 1.6 BlueHDi Intensive°SLO.1.LASTNIK°SAMO 127.000KM,2016,127000 km,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22527085,https://images.avto.net/photo/22527085/1057668_160.jpg
22571987,BMW serija 5 Touring: 520XD-4X4-AUT-188.000km-LIZING ZA TUJCE-NAVI-...,2014,188000 km,diesel motor,avtomatski menjalnik,"1995 ccm, 135 kW / 184 KM",8.950 €,https://www.avto.net/Ads/details.asp?id=22571987,https://images.avto.net/photo/22571987/1054213_160.jpg
22571808,BMW serija 3: 320d,2012,,diesel motor,avtomatski menjalnik,"1995 ccm, 135 kW / 184 KM",7.500 €,https://www.avto.net/Ads/details.asp?id=22571808,https://images.avto.net/photo/22571808/1052871_160.jpg
22571683,Volkswagen Golf Variant 1.6 TDI BMT Comfortline,2018,150600 km,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",9.500 €,https://www.avto.net/Ads/details.asp?id=22571683,https://images.avto.net/photo/22571683/1052364_160.jpg
22571648,Ford Tourneo Courier 1.5 Tdci SLOVENSKO VOZILO - 1 LASTNIK,2020,132000 km,diesel motor,ročni menjalnik,"1499 ccm, 55 kW / 75 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22571648,https://images.avto.net/photo/22571648/1050967_160.jpg
22571647,Ford Tourneo Courier 1.5 Tdci KAMERA-NAVI-LEASING-LEANPAY...,2020,154000 km,diesel motor,ročni menjalnik,"1499 ccm, 74 kW / 101 KM",9.990 €,https://www.avto.net/Ads/details.asp?id=22571647,https://images.avto.net/photo/22571647/1050966_160.jpg
22571614,Peugeot 308 SW 1.5 BlueHDi 100 S S Allure,2019,156209 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",7.700 €,https://www.avto.net/Ads/details.asp?id=22571614,https://images.avto.net/photo/22571614/1050874_160.jpg
22571546,Renault Kangoo Confort dCi 90 -TEMPOMAT-KLJUKA- -PP-...,2014,137200 km,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",9.290 €,https://www.avto.net/Ads/details.asp?id=22571546,https://images.avto.net/photo/22571546/1049662_160.jpg
22571455,Peugeot 508 SW 2.0 BlueHDi Allure Avt.,2016,185000 km,diesel motor,avtomatski menjalnik,"1997 ccm, 133 kW / 181 KM",7.500 €,https://www.avto.net/Ads/details.asp?id=22571455,https://images.avto.net/photo/22571455/1050583_160.jpg
21835041,Citroën C4 SpaceTourer Feel BlueHDi 130 S S BVM6.LED. NAVI.TEMPOMAT.PDC,2020,121200 km,diesel motor,ročni menjalnik,"1499 ccm, 96 kW / 131 KM",9.999 €,https://www.avto.net/Ads/details.asp?id=21835041,https://images.avto.net/photo/21835041/1050667_160.jpg
22571309,Nissan Qashqai 1.6DCI-LED-PANORAMA-360KAMERA-NAVI-LANE-ASSIST-P..,2016,122000 km,diesel motor,ročni menjalnik,"1598 ccm, 96 kW / 131 KM",9.950 €,https://www.avto.net/Ads/details.asp?id=22571309,https://images.avto.net/photo/22571309/1046984_160.jpg
22571301,Nissan Qashqai 1.6 dCi 360° KAMERA+KEYLESS+XENON+2KLIMA+SLO+TOP,2016,196186 km,diesel motor,ročni menjalnik,"1598 ccm, 96 kW / 131 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22571301,https://images.avto.net/photo/22571301/1046806_160.jpg
22571295,Renault Grand Scenic dCi 110 Energy Zen,2017,179996 km,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",7.880 €,https://www.avto.net/Ads/details.asp?id=22571295,https://images.avto.net/photo/22571295/1048117_160.jpg
22571089,Mazda CX-5 CD150  Challenge Avt.,2013,196838 km,diesel motor,avtomatski menjalnik,"2191 ccm, 110 kW / 150 KM",6.900 €,https://www.avto.net/Ads/details.asp?id=22571089,https://images.avto.net/photo/22571089/1044973_160.jpg
22571073,BMW serija 5: 530d Highline,2002,181000 km,diesel motor,ročni menjalnik,"2926 ccm, 142 kW / 193 KM",10.000 €,https://www.avto.net/Ads/details.asp?id=22571073,https://images.avto.net/photo/22571073/1047257_160.jpg
22571065,Hyundai i20 1.1 CRDI 55KW STYLE - SLO - 1.LASTNIK -,2017,164054 km,diesel motor,ročni menjalnik,"1120 ccm, 55 kW / 75 KM",5.990 €,https://www.avto.net/Ads/details.asp?id=22571065,https://images.avto.net/photo/22571065/1044320_160.jpg
22570967,Peugeot 2008 1.6 e-HDi-SLOVENSKI-TEMPOMAT-FINANCIRANJE-ODLIČEN,2013,170973 km,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",5.590 €,https://www.avto.net/Ads/details.asp?id=22570967,https://images.avto.net/photo/22570967/1043466_160.jpg
22570799,Citroën C5 2.0 HDi  Exclusive 1.LASTNIK. AVTOMATIK,2010,180800 km,diesel motor,avtomatski menjalnik,"1997 ccm, 103 kW / 140 KM",5.350 €,https://www.avto.net/Ads/details.asp?id=22570799,https://images.avto.net/photo/22570799/1042460_160.jpg
22555599,Renault Megane Berline dCi LED-NAVIG-LANE-KEYLESS-VIRTU-PDC,2016,185247 km,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",6.990 €,https://www.avto.net/Ads/details.asp?id=22555599,https://images.avto.net/photo/22555599/1077494_160.jpg
22570782,Volkswagen Touran 1.6 TDI HITRI KREDIT BREZ POLOGA CCA 170€,2015,110350 km,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",9.999 €,https://www.avto.net/Ads/details.asp?id=22570782,https://images.avto.net/photo/22570782/1041767_160.jpg
